val,mon,ham,pin,rug,ben,pei,number
insuf,insuf,quitg,passa,passa,passa,quitg,1
insuf,passa,quitg,insuf,insuf,insuf,passa,1
insuf,quitg,quitg,passa,passa,passa,passa,1
passa,good,quitg,quitg,passa,quitg,quitg,1
insuf,insuf,quitg,passa,passa,quitg,passa,1
passa,good,good,quitg,insuf,insuf,insuf,1
passa,passa,quitg,insuf,good,insuf,passa,1
insuf,passa,passa,passa,insuf,insuf,quitg,1
insuf,quitg,veryg,insuf,quitg,quitg,passa,1
insuf,insuf,good,passa,quitg,passa,insuf,1
insuf,quitg,veryg,passa,quitg,good,quitg,1
passa,insuf,passa,insuf,insuf,quitg,quitg,1
passa,good,good,passa,quitg,insuf,quitg,1
insuf,passa,good,quitg,good,passa,good,1
passa,passa,good,quitg,insuf,quitg,good,1
quitg,good,veryg,insuf,passa,quitg,quitg,1
insuf,passa,good,passa,quitg,passa,quitg,1
insuf,quitg,veryg,insuf,good,good,quitg,1
insuf,passa,quitg,passa,passa,passa,passa,2
quitg,passa,passa,quitg,quitg,passa,quitg,1
passa,quitg,passa,good,passa,good,good,2
insuf,quitg,good,passa,passa,passa,good,1
insuf,passa,veryg,insuf,quitg,good,quitg,1
quitg,insuf,insuf,insuf,passa,insuf,quitg,1
insuf,quitg,good,insuf,passa,passa,passa,1
passa,passa,insuf,quitg,veryg,quitg,good,1
insuf,quitg,quitg,passa,insuf,passa,insuf,1
good,insuf,passa,quitg,passa,veryg,good,1
insuf,good,quitg,insuf,passa,passa,insuf,1
insuf,quitg,good,insuf,passa,insuf,passa,1
insuf,quitg,veryg,passa,passa,good,quitg,1
insuf,passa,veryg,passa,passa,veryg,passa,1
insuf,quitg,passa,passa,passa,passa,passa,1
insuf,insuf,quitg,insuf,insuf,insuf,good,1
passa,good,good,good,passa,good,quitg,1
insuf,insuf,insuf,insuf,insuf,insuf,veryg,1
insuf,quitg,good,insuf,passa,veryg,quitg,2
insuf,passa,good,insuf,insuf,insuf,insuf,1
passa,passa,good,insuf,quitg,quitg,passa,1
insuf,good,good,insuf,passa,insuf,quitg,1
insuf,insuf,veryg,good,passa,insuf,passa,1
good,insuf,veryg,quitg,passa,passa,insuf,1
insuf,quitg,quitg,passa,passa,passa,insuf,1
quitg,quitg,quitg,quitg,quitg,quitg,quitg,1
passa,good,quitg,quitg,quitg,passa,good,1
insuf,quitg,quitg,insuf,insuf,insuf,insuf,1
insuf,good,veryg,passa,quitg,good,passa,1
passa,quitg,veryg,insuf,good,passa,quitg,1
insuf,good,quitg,insuf,insuf,quitg,insuf,1
good,passa,passa,insuf,good,insuf,passa,1
insuf,passa,good,insuf,passa,quitg,passa,1
insuf,passa,good,passa,passa,quitg,quitg,2
veryg,good,good,passa,good,good,quitg,1
insuf,quitg,good,passa,passa,veryg,passa,1
insuf,passa,veryg,insuf,passa,quitg,quitg,1
insuf,veryg,good,quitg,passa,passa,passa,1
insuf,good,veryg,quitg,insuf,insuf,passa,1
insuf,quitg,quitg,quitg,quitg,quitg,quitg,1
passa,passa,passa,good,passa,good,quitg,1
insuf,passa,quitg,insuf,passa,insuf,passa,1
insuf,good,veryg,insuf,passa,passa,passa,1
insuf,quitg,good,insuf,quitg,quitg,quitg,1
passa,quitg,veryg,quitg,quitg,good,good,1
insuf,insuf,veryg,insuf,passa,insuf,passa,1
insuf,quitg,quitg,passa,passa,quitg,passa,1
insuf,good,veryg,quitg,quitg,good,good,1
quitg,good,passa,passa,passa,passa,good,1
insuf,passa,veryg,insuf,insuf,quitg,passa,1
passa,passa,passa,passa,good,passa,passa,1
insuf,quitg,good,quitg,passa,passa,quitg,1
quitg,passa,quitg,passa,passa,insuf,passa,1
insuf,insuf,insuf,insuf,insuf,passa,insuf,1
passa,passa,passa,passa,passa,passa,passa,1
insuf,good,good,passa,quitg,quitg,quitg,1
insuf,insuf,passa,insuf,insuf,insuf,insuf,1
insuf,good,good,quitg,quitg,quitg,quitg,1
insuf,passa,insuf,passa,passa,quitg,insuf,1
insuf,quitg,veryg,quitg,quitg,quitg,passa,1
passa,quitg,quitg,insuf,insuf,insuf,good,1
insuf,quitg,veryg,good,good,veryg,passa,1
insuf,quitg,quitg,insuf,quitg,quitg,passa,1
insuf,quitg,veryg,insuf,passa,quitg,good,1
quitg,quitg,quitg,quitg,passa,quitg,veryg,1
insuf,passa,passa,insuf,passa,passa,insuf,1
veryg,quitg,good,insuf,good,insuf,quitg,1
insuf,insuf,quitg,passa,insuf,insuf,passa,1
insuf,insuf,insuf,veryg,veryg,insuf,insuf,1
insuf,insuf,veryg,passa,passa,passa,passa,1
good,quitg,passa,passa,passa,good,quitg,1
insuf,good,good,passa,quitg,passa,insuf,1
insuf,insuf,insuf,insuf,insuf,insuf,insuf,10
insuf,insuf,insuf,veryg,insuf,insuf,insuf,1
insuf,insuf,insuf,passa,passa,insuf,insuf,2
insuf,passa,good,passa,passa,passa,passa,1
insuf,passa,veryg,passa,passa,good,passa,1
insuf,quitg,good,passa,good,insuf,quitg,1
veryg,veryg,veryg,veryg,veryg,veryg,veryg,1
insuf,good,veryg,good,passa,quitg,passa,1
insuf,passa,quitg,good,quitg,passa,passa,1
insuf,passa,veryg,passa,insuf,insuf,passa,1
insuf,quitg,quitg,quitg,insuf,insuf,insuf,1
insuf,passa,quitg,insuf,insuf,insuf,insuf,2
insuf,quitg,good,quitg,veryg,passa,good,1
insuf,quitg,good,passa,passa,quitg,quitg,1
quitg,passa,quitg,insuf,insuf,insuf,insuf,1
quitg,passa,good,veryg,veryg,quitg,passa,1
quitg,quitg,good,insuf,good,insuf,insuf,1
insuf,good,veryg,passa,passa,quitg,veryg,1
good,passa,good,passa,good,quitg,quitg,1
quitg,passa,insuf,passa,quitg,insuf,veryg,1
quitg,passa,insuf,passa,passa,passa,passa,1
insuf,good,veryg,insuf,passa,passa,quitg,1
insuf,good,veryg,insuf,insuf,passa,quitg,1
insuf,quitg,good,insuf,insuf,insuf,passa,1